Game,Publisher,TotalSales,NASales,PALSales,JPSales,OtherSales,ReleaseDate,LinkToPage
Gears of War 3,Microsoft Studios,6.22m,4.05m,1.59m,0.07m,0.50m,20th Sep 11,https://www.vgchartz.com/games/game.php?id=44123&region=All
God of War (2018),Sony Interactive Entertainment,6.15m,2.83m,2.17m,0.13m,1.02m,20th Apr 18,https://www.vgchartz.com/games/game.php?id=120125&region=All
Gears of War,Microsoft Game Studios,6.09m,3.54m,1.88m,0.07m,0.60m,07th Nov 06,https://www.vgchartz.com/games/game.php?id=843&region=All
Minecraft,Sony Computer Entertainment America,6.05m,2.21m,2.86m,N/A,0.99m,16th May 14,https://www.vgchartz.com/games/game.php?id=75585&region=All
Metal Gear Solid 2: Sons of Liberty,Konami,6.05m,2.45m,2.01m,0.87m,0.72m,12th Nov 01,https://www.vgchartz.com/games/game.php?id=3774&region=All
Sonic the Hedgehog 2,Sega,6.03m,4.47m,1.20m,0.16m,0.19m,20th Nov 92,https://www.vgchartz.com/games/game.php?id=6428&region=All
Metal Gear Solid,Konami,6.03m,3.18m,1.83m,0.78m,0.24m,21st Oct 98,https://www.vgchartz.com/games/game.php?id=1325&region=All
Metal Gear Solid 4: Guns of the Patriots,Konami,6.00m,2.63m,1.72m,0.83m,0.81m,12th Jun 08,https://www.vgchartz.com/games/game.php?id=6970&region=All
Final Fantasy XII,Square Enix,5.95m,1.88m,0.00m,2.33m,1.74m,31st Oct 06,https://www.vgchartz.com/games/game.php?id=765&region=All
Tomodachi Life,Nintendo,5.88m,0.97m,2.64m,1.98m,0.28m,06th Jun 14,https://www.vgchartz.com/games/game.php?id=81026&region=All
LittleBigPlanet,Sony Computer Entertainment,5.85m,2.80m,2.01m,0.17m,0.87m,28th Oct 08,https://www.vgchartz.com/games/game.php?id=12390&region=All
Horizon: Zero Dawn,Sony Interactive Entertainment,5.82m,2.20m,2.43m,0.28m,0.92m,28th Feb 17,https://www.vgchartz.com/games/game.php?id=85674&region=All
Resident Evil 2,Capcom,5.82m,1.88m,1.47m,2.02m,0.45m,21st Jan 98,https://www.vgchartz.com/games/game.php?id=4159&region=All
